ID,WATERSHED,SITE,PLANT,TYPE,CODE,REP,WATER,PH,SOM,TOTALC,TOTALN,CN,IGNORE,NO3N,SO4,NH4,QPCR_16S,ARC,QPCR_mcrA,QPCR_pmoA,AOA,QPCR_nosZ,QPCR_nirK,QPCR_nirS
1,Patuxent,JugBay,Cattail,NAT,Pat-Nat-Cat,1,223.8709677,4.32,19.41727791,10.11,0.7044,14.4,8767,1.085,163.2,27.20809407,3219593367,1302215787,632850704,7577.193533,BDL,22286010.96,40635079.6,5754414.37
2,Patuxent,JugBay,Cattail,NAT,Pat-Nat-Cat,2,173.4972678,4.29,17.12806214,8.912,0.6133,14.5,12367,1.605,197.04,11.13731656,2895906395,816793899.2,382407277.1,54429.11938,BDL,19148812.95,41593019.9,9059557.56
3,Patuxent,JugBay,Cattail,NAT,Pat-Nat-Cat,3,183.5694051,4.19,15.62785968,7.619,0.5471,13.9,14022,1.45,137.95,13.97624039,5505482054,1879892050,1183410875,37141.79342,BDL,39148483.98,83779021.72,9233391.623
4,Patuxent,JugBay,Phrag,NAT,Pat-Nat-Phrag,1,270.4797048,4.87,19.0175577,9.534,0.7543,12.6,11596,0.96,938.085,26.36514716,10137743146,2238448968,1531331125,167671.9991,BDL,46936198.11,130622843.3,166624554.9
5,Patuxent,JugBay,Phrag,NAT,Pat-Nat-Phrag,2,225,5.19,12.87618663,6.492,0.5138,12.6,6859,1.085,111.57,13.03066038,14567186766,2503860124,1757315232,281409.7531,BDL,69999651.57,188925182.1,132816816.5
6,Patuxent,JugBay,Phrag,NAT,Pat-Nat-Phrag,3,97.63779528,4.75,7.241143749,2.873,0.2098,13.7,13652,1.58,234.4,11.36944249,3151681281,1731596983,1384048638,26257.33311,BDL,57091496.02,102195941.7,20783813.67
7,Patuxent,JugBay,Peltandra,NAT,Pat-Nat-Pel,1,87.96992481,4.18,10.69252078,5.101,0.3704,13.8,11216,1.765,211.43,10.33140686,3286549647,919644735.2,387096346.2,17305.36178,BDL,16513011.09,32796764.33,6109058.514
8,Patuxent,JugBay,Peltandra,NAT,Pat-Nat-Pel,2,59.14149444,4.42,5.188067445,2.024,0.1168,17.3,9468,1.65,79.975,7.571949694,10232386103,2566631905,980725353,126436.5922,BDL,50358084.37,98596430.31,28768363.51
9,Patuxent,JugBay,Peltandra,NAT,Pat-Nat-Pel,3,118.9956332,4.86,15.69969255,7.814,0.5434,14.4,14453,1.545,125.125,10.48717809,2740310841,1335044455,420731365.9,5959.674153,BDL,.,29454197.24,3032431.744
10,Patuxent,JugBay,LooseStrife,NAT,Pat-Nat-Loose,1,143.0992736,4.67,12.08072769,6.295,0.4799,13.1,10722,1.42,564.81,17.44970176,6872579585,3304301974,999753369.5,17175.53425,BDL,43355454.08,78111663.94,12985357.75
